experiment_id,light_intensity_lux,co2_concentration_ppm,nutrient_concentration_mm,temperature_c,water_supply_ml_day,biomass_yield,source
PLT-00668,38046.2903,755.1492,3.4587,29.1447,135.6579,129.9366,synthetic_prototype_v1
PLT-00669,39151.4091,944.7733,7.504,27.7296,137.9553,42.9877,synthetic_prototype_v1
PLT-00670,77835.1364,672.2756,6.4746,34.6538,102.363,14.8883,synthetic_prototype_v1
PLT-00671,8348.6817,548.911,1.3161,28.1365,465.352,25.7409,synthetic_prototype_v1
PLT-00672,40234.7276,1058.6345,4.7978,25.5531,150.792,69.7317,synthetic_prototype_v1
PLT-00673,30004.3781,701.768,5.8764,26.1939,297.1908,107.2611,synthetic_prototype_v1
PLT-00674,46515.563,846.0789,4.8319,27.9244,497.2614,110.2762,synthetic_prototype_v1
PLT-00675,34200.8826,591.7355,2.9871,27.3842,196.1904,82.1964,synthetic_prototype_v1
PLT-00676,28884.1994,953.0055,3.5336,27.4986,169.9551,102.2816,synthetic_prototype_v1
PLT-00677,32097.4174,777.2991,3.9996,29.3685,50.0562,92.4608,synthetic_prototype_v1
PLT-00678,31217.2709,1113.9851,7.3108,18.6525,367.6041,22.7286,synthetic_prototype_v1
PLT-00679,6243.4851,507.1818,7.1808,33.2316,398.2278,20.6748,synthetic_prototype_v1
PLT-00680,17215.3625,566.9163,3.812,15.7982,245.3435,13.3549,synthetic_prototype_v1
PLT-00681,49420.6213,515.9313,9.3844,21.0835,122.1939,16.6439,synthetic_prototype_v1
PLT-00682,54051.4927,691.5039,3.4765,31.0649,346.3785,50.7738,synthetic_prototype_v1
PLT-00683,7633.7608,623.2078,1.5673,39.3346,279.1159,10.0,synthetic_prototype_v1
PLT-00684,53173.8059,1069.345,6.8282,18.3027,59.9868,24.8778,synthetic_prototype_v1
PLT-00685,55964.5257,776.1458,9.2083,37.1878,113.6558,16.668,synthetic_prototype_v1
PLT-00686,28001.6134,753.0638,4.4246,22.1646,215.1923,118.5428,synthetic_prototype_v1
PLT-00687,51949.2168,693.3793,9.2081,30.6019,129.2111,16.83,synthetic_prototype_v1
PLT-00688,39145.4836,792.0774,2.0114,27.8089,277.9732,113.0231,synthetic_prototype_v1
PLT-00689,10626.2981,928.4669,4.4655,28.2751,453.5964,52.8686,synthetic_prototype_v1
PLT-00690,29400.7048,793.2526,8.5498,37.1903,218.59,20.9051,synthetic_prototype_v1
PLT-00691,20189.1806,733.6423,1.552,38.9187,73.9628,16.7189,synthetic_prototype_v1
PLT-00692,46571.4189,525.6091,8.7067,33.1781,291.5824,20.7203,synthetic_prototype_v1
PLT-00693,32475.1616,937.9517,3.4602,38.9223,121.4787,12.9976,synthetic_prototype_v1
PLT-00694,63665.8396,802.4366,0.6401,25.5183,453.0319,20.6774,synthetic_prototype_v1
PLT-00695,52079.6319,762.1336,5.2387,26.1825,203.6105,84.2149,synthetic_prototype_v1
PLT-00696,31403.8006,1197.8486,7.1099,30.7786,237.5222,26.9739,synthetic_prototype_v1
PLT-00697,56732.1386,522.9882,9.6346,20.2586,497.4155,15.7249,synthetic_prototype_v1
PLT-00698,75952.0297,659.5245,9.73,21.3928,273.5678,12.4081,synthetic_prototype_v1
PLT-00699,45677.3302,704.7523,3.7462,33.7676,436.9099,52.8652,synthetic_prototype_v1
PLT-00700,20608.9919,690.2341,5.9675,28.8481,143.6506,57.2914,synthetic_prototype_v1
PLT-00701,79279.1343,502.3059,1.7196,39.419,147.6819,14.7882,synthetic_prototype_v1
PLT-00702,44017.255,432.3455,7.9029,16.435,275.2458,14.6772,synthetic_prototype_v1
PLT-00703,40405.1171,671.6244,2.9396,25.2813,218.5398,124.8309,synthetic_prototype_v1
PLT-00704,36719.8875,789.1472,3.5689,26.4403,321.034,176.2309,synthetic_prototype_v1
PLT-00705,43162.5961,498.5411,4.7858,30.2406,274.9381,44.4428,synthetic_prototype_v1
PLT-00706,24881.9803,903.9527,2.898,26.7416,346.9723,111.3371,synthetic_prototype_v1
PLT-00707,57862.8742,577.3577,8.1807,39.4427,404.2422,11.4758,synthetic_prototype_v1
PLT-00708,21831.192,986.6759,3.2629,30.1458,228.6717,59.2951,synthetic_prototype_v1
PLT-00709,71875.795,607.7938,2.5558,37.5774,167.6468,18.3273,synthetic_prototype_v1
PLT-00710,46714.2723,577.5205,5.0614,28.9257,92.2717,53.9404,synthetic_prototype_v1
PLT-00711,29561.7203,672.3326,3.8701,21.1909,428.8343,104.5707,synthetic_prototype_v1
PLT-00712,79481.3436,808.9384,0.5963,31.0703,190.5823,24.3734,synthetic_prototype_v1
PLT-00713,29063.7556,590.2683,9.9379,32.5136,348.9461,15.2974,synthetic_prototype_v1
PLT-00714,19070.697,674.1505,1.668,27.3998,420.204,53.2296,synthetic_prototype_v1
PLT-00715,39747.8982,707.6558,3.9888,21.3301,130.7431,95.233,synthetic_prototype_v1
PLT-00716,31151.6668,922.6362,3.5821,24.932,179.6166,132.4312,synthetic_prototype_v1
PLT-00717,42344.889,456.8699,8.9091,31.2177,107.6858,19.3679,synthetic_prototype_v1
PLT-00718,39132.3282,736.5355,3.6387,24.8401,112.5893,138.8328,synthetic_prototype_v1
PLT-00719,36005.6183,744.4879,1.2526,32.7372,240.0574,45.2014,synthetic_prototype_v1
PLT-00720,60717.9732,993.9914,0.5523,30.8274,353.6084,16.3577,synthetic_prototype_v1
PLT-00721,75203.2678,439.1003,6.1747,15.3527,230.3019,16.5608,synthetic_prototype_v1
PLT-00722,36968.3152,582.2298,6.9892,23.7837,467.8676,44.0898,synthetic_prototype_v1
PLT-00723,27651.3149,812.0325,3.5392,29.7636,435.8693,131.1852,synthetic_prototype_v1
PLT-00724,20180.3445,566.1097,8.4936,37.5707,65.8778,13.9584,synthetic_prototype_v1
PLT-00725,33255.0506,503.7825,3.851,36.6457,263.1894,15.2264,synthetic_prototype_v1
PLT-00726,74584.6573,1031.9248,4.5021,20.7715,392.1743,30.0699,synthetic_prototype_v1
PLT-00727,38814.2332,723.7664,2.9348,23.4415,124.1604,117.8361,synthetic_prototype_v1
PLT-00728,56565.0451,1178.6048,6.4219,34.1939,316.2742,19.238,synthetic_prototype_v1
PLT-00729,15374.6803,448.6639,7.364,38.6911,448.532,12.7539,synthetic_prototype_v1
PLT-00730,61004.8786,500.5226,2.9197,19.832,406.3389,29.5718,synthetic_prototype_v1
PLT-00731,35885.8172,613.8397,4.0155,23.036,400.7624,98.8647,synthetic_prototype_v1
PLT-00732,69960.8455,415.9839,2.8447,15.7626,278.1708,19.8499,synthetic_prototype_v1
PLT-00733,16142.0265,732.9057,3.6112,25.1612,325.13,79.5525,synthetic_prototype_v1
PLT-00734,29982.0621,1036.4202,1.0421,33.6484,105.5491,27.4002,synthetic_prototype_v1
PLT-00735,67044.0947,745.5728,5.8899,30.8078,325.6377,26.6388,synthetic_prototype_v1
PLT-00736,38464.7943,784.2327,3.9982,27.8996,349.7186,170.827,synthetic_prototype_v1
PLT-00737,32717.8705,979.4881,8.3151,32.0335,475.1989,17.9137,synthetic_prototype_v1
PLT-00738,43050.0748,867.6169,2.109,28.071,173.1064,89.6712,synthetic_prototype_v1
PLT-00739,21769.2741,438.934,4.5092,27.7606,251.7204,36.0135,synthetic_prototype_v1
PLT-00740,27126.4407,751.278,8.464,27.1182,115.6372,29.0118,synthetic_prototype_v1
PLT-00741,68642.0367,447.9927,3.1762,38.606,493.9832,19.3631,synthetic_prototype_v1
PLT-00742,42397.966,896.0901,9.5627,31.889,255.3329,19.5161,synthetic_prototype_v1
PLT-00743,16132.9242,985.3016,6.7431,33.2803,362.7547,24.6564,synthetic_prototype_v1
PLT-00744,23275.0591,1171.4936,9.1535,37.5252,134.3886,10.0,synthetic_prototype_v1
PLT-00745,53688.3317,756.2071,5.2171,31.909,162.2639,41.2475,synthetic_prototype_v1
PLT-00746,9221.661,582.2489,8.9,26.9025,460.166,21.6062,synthetic_prototype_v1
PLT-00747,27605.0478,462.0413,6.3155,19.3821,484.7337,28.7009,synthetic_prototype_v1
PLT-00748,49165.8873,767.9198,4.3657,28.1088,252.6193,99.0934,synthetic_prototype_v1
PLT-00749,32586.0254,805.5557,5.9903,29.5853,444.3009,99.4413,synthetic_prototype_v1
PLT-00750,69691.085,876.1448,5.5535,15.212,432.8964,18.6293,synthetic_prototype_v1
PLT-00751,40332.2155,717.2422,6.0582,15.973,347.8154,25.2186,synthetic_prototype_v1
PLT-00752,33104.1194,783.9398,4.2132,28.6574,373.6947,162.105,synthetic_prototype_v1
PLT-00753,25627.328,795.1278,3.6866,25.6189,68.1046,116.197,synthetic_prototype_v1
PLT-00754,23227.3344,1053.4215,0.9695,24.7013,104.6429,31.0164,synthetic_prototype_v1
PLT-00755,22749.6772,1006.429,9.3507,38.3982,201.0634,13.5228,synthetic_prototype_v1
PLT-00756,48381.7957,516.1359,3.7475,28.1365,146.8892,46.4931,synthetic_prototype_v1
PLT-00757,48947.1031,1001.5604,1.7509,24.8399,362.7268,49.4566,synthetic_prototype_v1
PLT-00758,50754.5362,1126.6765,1.8148,24.6855,240.7996,33.0812,synthetic_prototype_v1
PLT-00759,76474.935,1004.2972,7.7454,15.6687,150.048,12.7649,synthetic_prototype_v1
PLT-00760,55061.7442,424.168,2.184,18.4349,173.2186,19.3977,synthetic_prototype_v1
PLT-00761,8093.9774,693.0977,7.4118,34.8039,312.614,19.7609,synthetic_prototype_v1
PLT-00762,27796.2574,456.0915,8.7636,19.6067,139.8268,20.0758,synthetic_prototype_v1
PLT-00763,37985.6782,622.8932,2.5619,39.1662,129.2664,18.2306,synthetic_prototype_v1
PLT-00764,35518.2333,652.7822,6.3262,26.4117,234.9278,80.6774,synthetic_prototype_v1
PLT-00765,41643.8034,943.3163,5.1496,21.5907,248.3202,79.0251,synthetic_prototype_v1
PLT-00766,47888.1482,619.3909,5.9219,33.4167,127.3187,29.7042,synthetic_prototype_v1
PLT-00767,29733.9035,961.5054,3.5651,21.4527,476.8951,82.0009,synthetic_prototype_v1
PLT-00768,34631.361,839.0193,3.5872,20.6003,391.0335,108.1243,synthetic_prototype_v1
PLT-00769,37862.3686,944.7406,4.5335,31.2331,102.0642,71.1645,synthetic_prototype_v1
PLT-00770,17095.3834,604.0997,3.4177,32.6533,497.0701,36.7206,synthetic_prototype_v1
PLT-00771,38512.9132,700.4848,1.0115,28.2009,197.3229,65.4167,synthetic_prototype_v1
PLT-00772,75388.3594,433.6532,5.2506,39.3754,497.7222,15.4742,synthetic_prototype_v1
PLT-00773,45572.4137,740.3172,3.6049,25.5332,245.9501,120.8479,synthetic_prototype_v1
PLT-00774,72256.6529,458.5968,5.8006,25.1126,408.1572,23.1619,synthetic_prototype_v1
PLT-00775,31350.0631,854.535,4.4016,25.5835,407.7368,174.75,synthetic_prototype_v1
PLT-00776,21511.8418,840.6653,8.0145,30.6883,372.0872,28.8891,synthetic_prototype_v1
PLT-00777,47477.4187,880.4125,5.3646,25.9201,110.8889,86.4668,synthetic_prototype_v1
PLT-00778,14369.2759,894.2287,2.9944,38.1348,205.256,13.8655,synthetic_prototype_v1
PLT-00779,56329.1106,980.7133,5.0454,24.7977,176.6496,47.9115,synthetic_prototype_v1
PLT-00780,17879.5661,733.5119,5.2598,24.521,173.5959,77.807,synthetic_prototype_v1
PLT-00781,34106.5927,829.3711,4.982,27.613,282.3823,161.405,synthetic_prototype_v1
PLT-00782,31263.4472,674.1323,2.9115,23.8699,172.6957,115.505,synthetic_prototype_v1
PLT-00783,67664.7649,1026.4707,1.0191,16.4036,204.4042,12.3649,synthetic_prototype_v1
PLT-00784,42619.3724,772.9481,3.6625,27.4608,200.5707,143.8689,synthetic_prototype_v1
PLT-00785,45192.1583,893.9998,3.098,22.0029,380.8841,90.8678,synthetic_prototype_v1
PLT-00786,61045.235,800.2525,6.4882,29.2839,171.0388,30.9749,synthetic_prototype_v1
PLT-00787,25939.49,781.0675,4.5508,30.2024,173.4427,105.4781,synthetic_prototype_v1
PLT-00788,13223.1238,858.4337,4.273,24.343,380.0249,67.7696,synthetic_prototype_v1
PLT-00789,71427.8878,414.5849,9.1027,36.4359,266.1402,12.9013,synthetic_prototype_v1
PLT-00790,77656.4241,1081.4943,3.0811,26.1736,366.221,17.7453,synthetic_prototype_v1
PLT-00791,23704.0682,663.2599,3.9785,29.436,431.7194,94.0865,synthetic_prototype_v1
PLT-00792,66097.8832,836.8433,5.5256,27.5158,98.0599,28.9936,synthetic_prototype_v1
PLT-00793,56053.5895,494.7882,6.9875,39.6173,476.9881,13.9758,synthetic_prototype_v1
PLT-00794,61592.7722,956.703,3.858,22.782,113.4679,37.2913,synthetic_prototype_v1
PLT-00795,41727.4806,1049.4961,8.5324,36.0709,470.5756,10.0,synthetic_prototype_v1
PLT-00796,40792.4682,1018.7034,9.5775,27.0505,96.6724,16.3535,synthetic_prototype_v1
PLT-00797,72797.9968,1034.4166,8.7652,31.4138,111.4998,19.5064,synthetic_prototype_v1
PLT-00798,32774.5078,775.4383,6.282,22.6277,117.593,77.1253,synthetic_prototype_v1
PLT-00799,40117.3554,781.0276,7.3669,32.6379,465.2762,36.2012,synthetic_prototype_v1
PLT-00800,30372.9143,441.2636,8.582,38.886,439.9718,10.6627,synthetic_prototype_v1
PLT-00801,53765.3387,734.6496,2.3168,24.9554,322.0899,61.4761,synthetic_prototype_v1
PLT-00802,8874.3438,856.5845,6.3384,38.022,243.5173,16.2032,synthetic_prototype_v1
PLT-00803,27044.9182,898.1124,2.7411,27.144,375.2214,120.3809,synthetic_prototype_v1
PLT-00804,20920.7854,902.2017,5.5143,39.8208,205.4659,15.3031,synthetic_prototype_v1
PLT-00805,28583.8019,665.1795,9.0867,32.2938,354.8854,25.4547,synthetic_prototype_v1
PLT-00806,35093.0292,705.3924,2.687,24.1967,226.9667,131.4147,synthetic_prototype_v1
PLT-00807,33480.1574,674.9068,2.6401,24.92,190.4252,117.3737,synthetic_prototype_v1
PLT-00808,18226.7285,745.0877,1.5441,23.6122,57.0594,38.1675,synthetic_prototype_v1
PLT-00809,13958.6327,1002.6949,4.5469,29.3111,180.4195,40.3091,synthetic_prototype_v1
PLT-00810,60252.9266,1162.563,8.3249,32.6198,122.8393,21.876,synthetic_prototype_v1
PLT-00811,79895.7136,751.2281,3.8193,26.0722,436.9164,21.0454,synthetic_prototype_v1
PLT-00812,35650.2033,1131.6794,4.9198,24.0154,253.32,47.849,synthetic_prototype_v1
PLT-00813,37533.427,547.0337,9.6904,16.2687,144.6347,13.839,synthetic_prototype_v1
PLT-00814,41764.8157,445.5306,5.1855,17.888,299.7759,19.6713,synthetic_prototype_v1
PLT-00815,15504.1554,1044.9852,6.8079,31.5551,209.1353,26.9028,synthetic_prototype_v1
PLT-00816,72749.5904,1133.3442,7.7226,29.7065,445.6742,22.0668,synthetic_prototype_v1
PLT-00817,60096.5819,1011.7794,7.9475,39.865,159.9053,10.6561,synthetic_prototype_v1
PLT-00818,40073.9339,420.9675,7.199,16.8396,221.3032,12.0246,synthetic_prototype_v1
PLT-00819,74567.1913,747.6833,1.9037,23.2756,481.8061,20.1169,synthetic_prototype_v1
PLT-00820,79460.5968,742.3154,7.9772,34.6923,278.0071,11.3714,synthetic_prototype_v1
PLT-00821,20156.6076,1006.6396,5.6066,23.9626,444.2628,50.6029,synthetic_prototype_v1
PLT-00822,20526.5406,819.734,2.7782,17.7846,437.7755,22.8745,synthetic_prototype_v1
PLT-00823,59303.031,936.6441,3.912,29.2797,401.1207,44.9342,synthetic_prototype_v1
PLT-00824,42886.5046,539.5697,9.9707,31.7826,96.9208,15.6021,synthetic_prototype_v1
PLT-00825,44878.9388,845.0173,4.7936,25.9012,341.0729,141.6803,synthetic_prototype_v1
PLT-00826,8879.1119,524.5402,0.9841,27.5082,109.8324,26.2812,synthetic_prototype_v1
PLT-00827,50492.4751,504.5162,3.0699,22.6756,350.8162,38.7491,synthetic_prototype_v1
PLT-00828,27349.173,741.8221,3.5531,25.867,428.8507,158.9978,synthetic_prototype_v1
PLT-00829,68628.5566,738.3329,5.4173,20.0328,125.7538,28.8841,synthetic_prototype_v1
PLT-00830,35127.6248,795.3537,3.9085,26.4986,417.7243,179.1163,synthetic_prototype_v1
PLT-00831,29173.9723,898.2836,3.3727,26.144,302.6779,151.2636,synthetic_prototype_v1
PLT-00832,28696.3235,918.0384,4.0865,27.7714,363.5998,143.6383,synthetic_prototype_v1
PLT-00833,37688.3017,750.5979,5.105,24.0651,207.8013,139.7178,synthetic_prototype_v1
PLT-00834,22613.0122,865.081,6.8631,36.1046,359.3732,17.958,synthetic_prototype_v1
PLT-00835,6993.3324,416.1156,2.3495,15.222,135.5939,16.8566,synthetic_prototype_v1
PLT-00836,63096.7911,532.0629,4.9845,30.4618,316.8471,23.9795,synthetic_prototype_v1
PLT-00837,77905.2633,580.0189,9.4971,31.6781,185.5311,18.0437,synthetic_prototype_v1
PLT-00838,57877.1147,808.2607,8.0626,30.3213,335.9549,25.459,synthetic_prototype_v1
PLT-00839,15778.8996,1050.0062,5.2373,25.4734,123.1385,47.188,synthetic_prototype_v1
PLT-00840,48401.8257,718.6748,3.3242,28.2208,184.0099,93.3814,synthetic_prototype_v1
PLT-00841,72958.0108,796.5232,8.0682,25.0519,380.9953,24.5373,synthetic_prototype_v1
PLT-00842,26577.6659,800.7403,3.85,29.73,321.7012,122.2287,synthetic_prototype_v1
PLT-00843,68770.5724,403.4909,7.3773,25.2285,289.1625,18.958,synthetic_prototype_v1
PLT-00844,53629.8264,690.7743,9.1292,32.8439,307.7665,19.885,synthetic_prototype_v1
PLT-00845,35627.2192,921.4755,4.3185,24.2304,445.0492,151.1766,synthetic_prototype_v1
PLT-00846,51403.6084,955.8386,1.6222,31.9661,81.1746,36.0534,synthetic_prototype_v1
PLT-00847,63046.7036,728.9625,2.9444,19.878,467.3406,37.3936,synthetic_prototype_v1
PLT-00848,47994.9295,771.6854,4.312,23.6006,120.9463,98.3222,synthetic_prototype_v1
PLT-00849,49873.0067,629.192,4.6151,28.1458,140.8212,65.1312,synthetic_prototype_v1
PLT-00850,38878.7946,1107.0214,6.0995,28.3472,396.4959,39.1458,synthetic_prototype_v1
PLT-00851,76418.7287,1178.6789,8.97,24.9636,332.3894,21.5372,synthetic_prototype_v1
PLT-00852,27083.4029,985.9015,3.682,27.723,397.3359,101.8673,synthetic_prototype_v1
PLT-00853,49977.1518,662.0097,7.6248,39.8054,84.0401,12.452,synthetic_prototype_v1
PLT-00854,35942.8677,451.3671,3.8444,39.45,417.3427,11.6198,synthetic_prototype_v1
PLT-00855,34363.0131,1157.5138,9.143,35.6442,178.5834,15.2993,synthetic_prototype_v1
PLT-00856,44993.7357,596.7421,3.1604,30.8501,142.5826,54.057,synthetic_prototype_v1
PLT-00857,38085.1182,848.1003,5.043,26.9281,114.254,131.9446,synthetic_prototype_v1
PLT-00858,37048.4166,933.6091,2.19,22.9933,110.9503,78.4992,synthetic_prototype_v1
PLT-00859,43700.6215,590.113,5.9077,27.7042,328.5712,63.8393,synthetic_prototype_v1
PLT-00860,60890.2882,814.8645,1.9948,31.0609,323.02,35.0037,synthetic_prototype_v1
PLT-00861,33930.8537,676.5294,6.6652,28.4026,206.0484,69.0026,synthetic_prototype_v1
PLT-00862,35101.6668,1177.0872,9.9512,38.5476,110.0377,10.4294,synthetic_prototype_v1
PLT-00863,68673.3817,429.7285,2.3696,31.299,146.0074,16.1939,synthetic_prototype_v1
PLT-00864,38370.3321,1134.717,8.8514,35.8703,350.1557,14.5288,synthetic_prototype_v1
PLT-00865,53224.8818,760.7398,4.4298,30.1445,394.6617,68.7022,synthetic_prototype_v1
PLT-00866,22325.2308,860.7117,6.6717,27.88,269.6182,56.5364,synthetic_prototype_v1
PLT-00867,8368.2965,683.7803,6.977,37.4883,354.8754,10.0,synthetic_prototype_v1
PLT-00868,70625.3707,823.2315,5.9444,39.4614,93.6906,15.0189,synthetic_prototype_v1
PLT-00869,28874.4791,1179.9702,4.1009,38.9625,158.8298,18.1471,synthetic_prototype_v1
PLT-00870,46132.1558,823.2075,4.7947,25.4881,237.3738,120.7652,synthetic_prototype_v1
PLT-00871,66179.7977,1146.4602,0.7261,19.9881,463.566,24.3718,synthetic_prototype_v1
PLT-00872,67114.8389,405.9651,5.3343,28.1899,218.1718,22.715,synthetic_prototype_v1
PLT-00873,52346.4438,1181.264,1.9443,37.2149,318.7169,18.8519,synthetic_prototype_v1
PLT-00874,23989.4107,987.7778,3.998,22.8195,209.0173,78.9009,synthetic_prototype_v1
PLT-00875,72274.7599,976.3673,6.0909,38.2926,156.792,17.3976,synthetic_prototype_v1
PLT-00876,51380.6552,851.0498,3.7571,27.7332,242.3067,90.0816,synthetic_prototype_v1
PLT-00877,15726.6406,1158.5181,4.6843,36.2984,384.9277,15.049,synthetic_prototype_v1
PLT-00878,35587.2049,551.4772,2.7774,21.4354,206.2442,55.8281,synthetic_prototype_v1
PLT-00879,14281.5353,877.3811,9.6195,32.7468,354.8219,21.4115,synthetic_prototype_v1
PLT-00880,13311.5577,1149.8883,4.0534,27.4755,451.7603,32.6439,synthetic_prototype_v1
PLT-00881,77709.3938,1101.0757,5.6807,33.6094,136.0193,16.6553,synthetic_prototype_v1
PLT-00882,31523.3579,911.8394,3.9552,22.9503,412.1436,135.5286,synthetic_prototype_v1
PLT-00883,47492.5444,829.4646,4.4887,29.2836,214.9982,96.4183,synthetic_prototype_v1
PLT-00884,41111.8505,915.8985,8.434,23.5918,431.9838,31.1732,synthetic_prototype_v1
PLT-00885,26798.1836,926.8795,4.0218,22.604,356.6691,114.5978,synthetic_prototype_v1
PLT-00886,72623.139,1190.3511,2.9811,34.6745,302.3957,14.0782,synthetic_prototype_v1
PLT-00887,33763.527,784.7054,6.7625,25.4287,350.3779,80.813,synthetic_prototype_v1
PLT-00888,9914.7825,1079.0177,8.2641,32.3715,150.2793,21.4618,synthetic_prototype_v1
PLT-00889,23704.7691,827.1398,4.3332,26.6904,173.1188,115.2588,synthetic_prototype_v1
PLT-00890,54738.1104,926.5323,3.9928,28.3238,367.1589,69.7294,synthetic_prototype_v1
PLT-00891,28431.5678,755.2075,4.5517,24.2388,403.4958,156.3404,synthetic_prototype_v1
PLT-00892,69264.5294,835.9133,4.1511,26.9149,234.226,26.2773,synthetic_prototype_v1
PLT-00893,51223.1727,598.9397,2.2359,16.3076,277.8951,18.1833,synthetic_prototype_v1
PLT-00894,16681.8253,411.3013,3.8163,18.6534,381.6403,28.1889,synthetic_prototype_v1
PLT-00895,75209.5598,923.1243,9.8312,30.6376,448.5187,17.6444,synthetic_prototype_v1
PLT-00896,19944.5003,898.1829,5.0662,24.6476,155.5056,77.4046,synthetic_prototype_v1
PLT-00897,71604.4021,924.7625,1.6323,30.7293,419.0021,23.0007,synthetic_prototype_v1
PLT-00898,35451.9275,971.7755,5.5671,26.0736,245.8246,92.504,synthetic_prototype_v1
PLT-00899,67848.5164,584.0825,1.1757,30.1964,357.9935,19.5507,synthetic_prototype_v1
PLT-00900,23359.7376,675.2297,3.9053,34.7257,68.1792,26.6743,synthetic_prototype_v1
PLT-00901,25290.1206,920.6498,0.6781,32.2502,186.0292,37.0643,synthetic_prototype_v1
PLT-00902,44120.2633,733.1758,4.2642,24.7708,441.4366,141.0541,synthetic_prototype_v1
PLT-00903,24321.3067,534.7117,3.3431,17.4775,443.4627,20.8415,synthetic_prototype_v1
PLT-00904,41220.3792,554.7083,3.0967,23.1953,196.3106,69.4456,synthetic_prototype_v1
PLT-00905,23102.9046,1154.0074,8.4158,15.4571,436.5912,10.1125,synthetic_prototype_v1
PLT-00906,38057.1527,856.4322,6.681,28.4057,177.9383,76.3104,synthetic_prototype_v1
PLT-00907,51642.333,491.8677,4.8916,36.593,324.9289,13.7322,synthetic_prototype_v1
PLT-00908,37838.1174,1162.7362,9.6085,37.5003,295.5838,10.0,synthetic_prototype_v1
PLT-00909,58822.9361,582.4635,3.6551,27.5919,205.3335,38.9322,synthetic_prototype_v1
PLT-00910,36881.1326,644.6698,1.6628,29.2496,176.1539,57.4576,synthetic_prototype_v1
PLT-00911,10807.7064,930.3372,6.0386,34.3767,131.7667,14.3846,synthetic_prototype_v1
PLT-00912,53168.9314,985.8547,2.946,29.645,396.5148,49.7398,synthetic_prototype_v1
PLT-00913,14288.2761,1135.5786,3.5389,35.0725,136.5198,15.1907,synthetic_prototype_v1
PLT-00914,36632.4547,695.5768,6.7751,38.7436,316.2375,14.0877,synthetic_prototype_v1
PLT-00915,16014.7801,446.7315,8.7575,24.2164,119.0257,23.1856,synthetic_prototype_v1
PLT-00916,7237.6078,992.3563,5.9336,16.9247,341.4753,11.8101,synthetic_prototype_v1
PLT-00917,37489.4301,872.8571,3.8616,29.6868,172.3886,128.349,synthetic_prototype_v1
PLT-00918,50233.0368,586.0424,8.3532,32.8808,274.0674,24.3045,synthetic_prototype_v1
PLT-00919,40424.1274,971.0557,4.3202,30.9519,101.4059,65.4074,synthetic_prototype_v1
PLT-00920,9539.6338,693.35,3.0416,33.4809,401.4657,26.2787,synthetic_prototype_v1
PLT-00921,64990.2808,940.8152,4.4382,17.9858,79.7969,16.4632,synthetic_prototype_v1
PLT-00922,79825.0544,592.5944,0.7938,22.4878,304.9892,16.7046,synthetic_prototype_v1
PLT-00923,54015.4869,958.5157,2.4156,24.6644,144.1423,51.5782,synthetic_prototype_v1
PLT-00924,36300.5955,1014.0628,5.4367,30.1971,381.6107,68.3407,synthetic_prototype_v1
PLT-00925,30755.5973,693.3842,2.447,25.132,398.9113,124.7334,synthetic_prototype_v1
PLT-00926,67634.4343,854.0402,5.2671,36.505,226.0088,14.315,synthetic_prototype_v1
PLT-00927,34088.1271,478.6533,6.9678,17.007,376.241,18.4915,synthetic_prototype_v1
PLT-00928,35364.1223,778.7803,7.3886,24.4597,235.8778,56.3062,synthetic_prototype_v1
PLT-00929,12229.3222,536.3132,2.2474,27.7256,57.7799,27.2099,synthetic_prototype_v1
PLT-00930,20289.547,926.822,9.5001,39.8942,126.4801,10.0,synthetic_prototype_v1
PLT-00931,30449.1609,1081.572,7.4654,28.6345,485.1314,28.3164,synthetic_prototype_v1
PLT-00932,45307.818,980.983,4.445,29.1254,169.5043,79.1365,synthetic_prototype_v1
PLT-00933,28224.8526,961.1591,6.158,21.6967,117.7574,50.8995,synthetic_prototype_v1
PLT-00934,64583.3467,648.3243,4.0415,24.4244,114.7218,28.9629,synthetic_prototype_v1
PLT-00935,19253.3912,963.2258,5.2159,39.9109,312.807,13.1149,synthetic_prototype_v1
PLT-00936,44188.1907,1033.4566,5.3142,25.3881,148.3566,72.0959,synthetic_prototype_v1
PLT-00937,24626.0089,786.072,4.8035,29.1136,103.6824,93.1644,synthetic_prototype_v1
PLT-00938,79274.1248,450.9309,9.021,23.8698,254.578,18.5894,synthetic_prototype_v1
PLT-00939,10347.8401,494.5047,5.866,28.9176,86.4954,22.7492,synthetic_prototype_v1
PLT-00940,71274.9711,1195.8585,2.8496,16.5308,331.1724,13.3969,synthetic_prototype_v1
PLT-00941,21362.3619,834.7233,4.557,29.0086,309.527,94.5924,synthetic_prototype_v1
PLT-00942,49582.5248,766.3179,1.1036,37.0488,265.1132,14.2166,synthetic_prototype_v1
PLT-00943,72101.5915,1014.2859,6.4543,19.2931,493.4395,22.1085,synthetic_prototype_v1
PLT-00944,30954.7867,1117.0281,7.9673,17.9989,199.6245,13.0205,synthetic_prototype_v1
PLT-00945,79270.8565,661.7367,3.0968,21.5993,256.4596,19.0563,synthetic_prototype_v1
PLT-00946,33394.4591,896.0647,0.6163,29.9988,430.6961,47.2109,synthetic_prototype_v1
PLT-00947,68894.9868,522.8226,0.5515,23.9804,69.9041,22.7551,synthetic_prototype_v1
PLT-00948,77736.1338,1032.519,6.9506,30.9244,351.5512,22.8737,synthetic_prototype_v1
